Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Signamax,DL-30-GN,"Port Designation Labels, Sheet", $1.20 , $0.56 ,54%, $0.65 ,46%, $0.66 ,US,1 Year
Signamax,DL-30-IV,"Port Designation Labels, Sheet", $1.20 , $0.56 ,54%, $0.65 ,46%, $0.66 ,US,1 Year
Signamax,DL-30-OR,"Port Designation Labels, Sheet", $1.20 , $0.56 ,54%, $0.65 ,46%, $0.66 ,US,1 Year
Signamax,DL-30-RD,"Port Designation Labels, Sheet", $1.20 , $0.56 ,54%, $0.65 ,46%, $0.66 ,US,1 Year
Signamax,DL-30-WH,"Port Designation Labels, Sheet", $1.20 , $0.56 ,54%, $0.65 ,46%, $0.66 ,US,1 Year
Signamax,DL-30-YE,"Port Designation Labels, Sheet", $1.20 , $0.56 ,54%, $0.65 ,46%, $0.66 ,US,1 Year
Signamax,DLF6-BU,Front Panel Designation Label, $6.00 , $2.79 ,54%, $3.26 ,46%, $3.29 ,US,1 Year
Signamax,DLF6-GN,Front Panel Designation Label, $6.00 , $2.79 ,54%, $3.26 ,46%, $3.29 ,US,1 Year
Signamax,DLF6-OR,Front Panel Designation Label, $6.00 , $2.79 ,54%, $3.26 ,46%, $3.29 ,US,1 Year
Signamax,DLF6-RD,Front Panel Designation Label, $6.00 , $2.79 ,54%, $3.26 ,46%, $3.29 ,US,1 Year
Signamax,DLF6-WH,Front Panel Designation Label, $6.00 , $2.79 ,54%, $3.26 ,46%, $3.29 ,US,1 Year
Signamax,DLF6-YE,Front Panel Designation Label, $6.00 , $2.79 ,54%, $3.26 ,46%, $3.29 ,US,1 Year
Signamax,DLR6-WH,Rear Panel Designation Label, $6.00 , $2.79 ,54%, $3.26 ,46%, $3.29 ,US,1 Year
Signamax,DPS-9300,"(P)19""RM Designation Strip", $61.95 , $28.81 ,54%, $33.69 ,46%, $33.95 ,US,1 Year
Signamax,DSKF-12,12-Port Double Gang Stainless, $5.00 , $2.33 ,54%, $2.72 ,46%, $2.74 ,US,1 Year
Signamax,DSKF-8,8-Port Double Gang Stainless, $5.00 , $2.33 ,54%, $2.72 ,46%, $2.74 ,US,1 Year
Signamax,DSKFLA-8,8-Port Double-Gang Angled SS, $7.00 , $3.26 ,54%, $3.81 ,46%, $3.84 ,US,1 Year
Signamax,FA-FCD02-B,FC Simplex MM Adapter, $9.40 , $4.37 ,54%, $5.11 ,46%, $5.15 ,US,1 Year
Signamax,FAK-3,3-Port Mod Furniture Adapter, $1.70 , $0.79 ,54%, $0.92 ,46%, $0.93 ,US,1 Year
Signamax,FAK-3-BK,3- Port Modular Furniture, $1.70 , $0.79 ,54%, $0.92 ,46%, $0.93 ,US,1 Year
Signamax,FAK-3-GY,3- Port Modular Furniture, $1.70 , $0.79 ,54%, $0.92 ,46%, $0.93 ,US,1 Year
Signamax,FAK-3-WH,3-Port Mod Furniture Adapter, $1.70 , $0.79 ,54%, $0.92 ,46%, $0.93 ,US,1 Year
Signamax,FAK-4,4-Port Mod Furniture Adapter, $1.70 , $0.79 ,54%, $0.92 ,46%, $0.93 ,US,1 Year
Signamax,FAK-4-BK,4- Port Modular Furniture, $1.70 , $0.79 ,54%, $0.92 ,46%, $0.93 ,US,1 Year
Signamax,FAK-4-GY,4- Port Modular Furniture, $1.70 , $0.79 ,54%, $0.92 ,46%, $0.93 ,US,1 Year
Signamax,FAK-4-WH,4-Port Mod Furniture Adapter, $1.70 , $0.79 ,54%, $0.92 ,46%, $0.93 ,US,1 Year
Signamax,FA-LC-DX-PB-MF-AQ,"OF ADAPTER-LC,DX,MM,ZRC", $5.50 , $2.56 ,54%, $2.99 ,46%, $3.01 ,US,1 Year
Signamax,FA-LC-DX-PB-MF-BE,"OF ADAPTER-LC,DX,MM,PHR-BRZ", $5.50 , $2.56 ,54%, $2.99 ,46%, $3.01 ,US,1 Year
Signamax,FA-LC-DX-PB-MF-BU,"OF ADAPTER-LC,DX,MM,ZRC", $5.00 , $2.33 ,54%, $2.72 ,46%, $2.74 ,US,1 Year
Signamax,FA-LC-DX-PB-MF-GR,"OF ADAPTER-LC,DX,MM,ZRC", $5.00 , $2.33 ,54%, $2.72 ,46%, $2.74 ,US,1 Year
Signamax,FA-LC-DX-PB-NF-AQ,"OF ADAPTER-LC,DX,MM,ZRC", $9.00 , $4.19 ,54%, $4.89 ,46%, $4.93 ,US,1 Year
Signamax,FA-LC-DX-PB-NF-BE,"OF ADAPTER-LC,DX,MM,PHR-BRZ", $5.60 , $2.60 ,54%, $3.05 ,46%, $3.07 ,US,1 Year
Signamax,FA-LC-DX-PB-NF-BU,"OF ADAPTER-LC,DX,MM,ZRC", $9.00 , $4.19 ,54%, $4.89 ,46%, $4.93 ,US,1 Year
Signamax,FA-LC-DX-PB-NF-GN,"OF ADAPTER-LC,DX,MM,ZRC", $9.00 , $4.19 ,54%, $4.89 ,46%, $4.93 ,US,1 Year
Signamax,FA-LCQ02-B,LC Quad MM Adapter Phosphor, $11.30 , $5.25 ,54%, $6.15 ,46%, $6.19 ,US,1 Year
Signamax,FA-LCQ03-B,LC Quad MM Adapter, $7.00 , $3.26 ,54%, $3.81 ,46%, $3.84 ,US,1 Year
Signamax,FA-LCQ03-BU,LC Quad MM Adapter, $23.30 , $10.83 ,54%, $12.67 ,46%, $12.77 ,US,1 Year
Signamax,FA-LC-QX-PB-MF-AQ,"OF ADAPTER-LC,QX,MM,ZRC", $23.30 , $10.83 ,54%, $12.67 ,46%, $12.77 ,US,1 Year
Signamax,FA-LC-QX-PB-MF-BE,"OF ADAPTER-LC,QX,MM,PHR-BRZ", $23.30 , $10.83 ,54%, $12.67 ,46%, $12.77 ,US,1 Year
Signamax,FA-LC-QX-PB-MF-BU,"OF ADAPTER-LC,QX,MM,ZRC", $23.30 , $10.83 ,54%, $12.67 ,46%, $12.77 ,US,1 Year
Signamax,FA-LC-QX-PB-MF-GN,"OF ADAPTER-LC,QX,MM,ZRC", $23.30 , $10.83 ,54%, $12.67 ,46%, $12.77 ,US,1 Year
Signamax,FA-LC-QX-PB-NF-AQ,"OF ADAPTER-LC,QX,MM,ZRC", $23.30 , $10.83 ,54%, $12.67 ,46%, $12.77 ,US,1 Year
